,Pays,var_pop(2015),dispo_alim_kcal_ppj_tot,dispo_prot_g_ppj_tot,ratio_prot_anim,PIB par habitant en dollar US,Importation en dollars,taux_prod,cluster
0,Afghanistan,9.537286319658131,2273.0,57.31,18.04222648752399,470,5736000.0,41.7910447761194,1
1,Afrique du Sud,5.416661045485121,2898.0,79.77,44.03911244828883,6001,9959000.0,83.07410795974383,2
2,Albanie,-0.33308838817640357,3338.0,116.02,53.84416479917255,5303,5827000.0,35.294117647058826,4
3,Algérie,7.723096716901895,3493.0,90.84,26.51915455746367,3976,32632000.0,101.39372822299653,2
4,Allemagne,2.0709952082236627,3559.0,104.24,60.14965464313124,46232,170013000.0,90.18691588785047,3
5,Angola,12.382961414811708,2445.0,52.09,29.83298137838356,2671,827000.0,14.984709480122325,1
6,Antigua-et-Barbuda,3.657406454004407,2485.0,80.8,63.51485148514852,17113,98000.0,0.0,4
7,Arabie saoudite,7.443742550015571,3302.0,89.55,39.865996649916255,23140,19917000.0,55.82693649685974,2
8,Argentine,3.8080286280620546,3304.0,106.95,63.47826086956522,10041,14597000.0,111.2871287128713,4
9,Arménie,1.0879285506356056,3022.0,94.29,56.06108813235762,4623,4130000.0,21.818181818181817,4
10,Autriche,3.086977680432897,3691.0,108.95,59.192290041303345,49701,38936000.0,74.57627118644068,3
11,Azerbaïdjan,4.229547445499565,3154.0,95.92,36.13427856547122,4782,4979000.0,76.71232876712328,2
12,Bahamas,3.9221324733877303,2626.0,76.1,63.63994743758214,34864,219000.0,27.27272727272727,4
13,Bangladesh,4.164394278501289,2626.0,61.33,19.924995923691508,1846,25271000.0,100.0,2
14,Belgique,2.1785324067398033,3800.0,100.34,60.37472593183176,46198,193728000.0,239.57219251336898,3
15,Belize,7.536768002295359,2744.0,73.54,44.85994016861572,4815,676000.0,100.0,2
16,Bolivie (État plurinational de),5.588156100442105,2464.0,74.37,47.88221056877773,3552,8487000.0,99.59677419354838,2
17,Bosnie-Herzégovine,-3.8885489245683127,3320.0,98.21,36.11648508298544,6109,3241000.0,125.0,4
18,Botswana,7.942928258360365,2570.0,72.18,37.53117206982543,7961,4531000.0,28.57142857142857,2
19,Brésil,3.1166892878182093,3246.0,93.81,58.47990619336958,8755,3967000.0,142.6970828706975,4
20,Bulgarie,-2.851694378338425,2854.0,82.24,50.36478599221791,9703,6250000.0,67.70186335403726,4
21,Burkina Faso,10.87895712584058,2733.0,80.16,13.560379241516966,787,528000.0,100.0,1
22,Burundi,11.886219080046278,1825.0,43.35,7.081891580161476,260,160000.0,100.0,1
23,Bélarus,0.1374040972192174,3295.0,91.65,54.315330060010915,6674,16892000.0,172.32472324723247,4
24,Bénin,10.38202968507055,2775.0,62.92,20.518118245390973,1220,334000.0,12.396694214876034,1
25,Cabo Verde,4.5809050160473515,2583.0,71.9,36.133518776077885,3604,258000.0,10.0,2
26,Cambodge,5.853901928008918,2700.0,65.53,28.56706851823592,1644,1321000.0,77.77777777777779,2
27,Cameroun,9.962800051630097,2770.0,72.03,15.285297792586421,1502,3239000.0,98.82352941176471,1
28,Canada,3.700433724829995,3539.0,108.55,56.30584983878397,46550,55688000.0,97.85296031229667,3
29,Chili,5.185115183918479,3078.0,93.87,52.785767550868215,14896,7650000.0,113.08823529411765,2
30,Chine - RAS de Hong-Kong,3.364077720821812,3236.0,129.45,74.66203167246042,49180,1127000.0,4.318181818181818,3
31,Chine - RAS de Macao,5.989585366424908,3312.0,107.31,64.45811201192807,84097,17000000.0,13.636363636363635,3
32,"Chine, continentale",1.8786527049380866,3347.0,105.3,39.173789173789174,10004,39360000.0,102.20488975551223,4
33,Chypre,3.1362242663162503,3046.0,92.38,50.22732193115394,28285,745000.0,77.14285714285715,4
34,Colombie,5.5995375236869425,2992.0,72.72,52.36523652365236,6432,16052000.0,93.63938053097345,2
35,Comores,8.633588988419131,2285.0,57.57,32.36060448150078,1370,14000.0,20.0,1
36,Congo,9.746533226974108,2183.0,53.11,48.03238561476182,2304,191000.0,6.1946902654867255,2
37,Costa Rica,3.9574955111983785,2996.0,80.84,57.24888668975755,12238,6445000.0,103.57142857142858,2
38,Croatie,-2.483352314986984,3128.0,93.51,61.09507004598439,14627,5916000.0,78.26086956521739,4
39,Côte d'Ivoire,9.684042303662576,2841.0,59.27,24.160620887464145,2276,4701000.0,98.14814814814815,1
40,Danemark,1.4411432262231552,3421.0,115.38,66.49332639972265,60657,12117000.0,108.21917808219179,3
41,Dominique,0.870376559714795,2929.0,81.47,55.308702589910396,8111,207000.0,0.0,4
42,El Salvador,1.9900510617949525,2739.0,77.77,35.28352835283528,4187,7142000.0,89.63414634146342,4
43,Espagne,0.13875582688887225,3348.0,108.54,62.94453657637737,29816,36607000.0,103.81922342457032,4
44,Estonie,0.7787135046407493,3167.0,102.35,63.42940889106009,23740,3244000.0,68.96551724137932,4
45,Eswatini,3.8398090808532133,2544.0,60.03,30.318174246210226,4002,356000.0,75.0,2
46,Fidji,2.3963063217945217,2859.0,77.9,46.52118100128369,6185,1998000.0,89.74358974358975,4
47,Finlande,0.9224974856095888,3320.0,117.47,62.15203881842173,48678,2359000.0,118.80341880341881,3
48,Fédération de Russie,0.6082027003133481,3363.0,104.83,53.29581226748068,11606,18876000.0,99.95659722222221,4
49,Gabon,10.351430258692549,2633.0,78.93,47.624477385024704,7773,409000.0,5.263157894736842,2
50,Ghana,8.444549806534688,3114.0,61.76,23.656088082901555,2203,10704000.0,30.136986301369863,1
51,Grenade,2.146371079346089,2479.0,72.51,58.64018756033651,10818,574000.0,0.0,4
52,Grèce,-1.7787349064850138,3396.0,107.35,58.23008849557523,19604,7733000.0,85.50185873605948,4
53,Guatemala,7.559338603730109,2556.0,69.69,31.310087530492183,4363,17101000.0,64.64088397790056,2
54,Guinée,10.485727077843462,2849.0,57.49,20.61228039659071,967,2496000.0,31.428571428571427,1
55,Guinée-Bissau,9.564157212005485,2230.0,43.28,19.408502772643253,688,2000.0,60.0,1
56,Guyana,1.9589506953546783,2940.0,87.15,43.59150889271371,6610,118000.0,121.875,4
57,Géorgie,-0.6860048063871655,2860.0,79.11,42.29553785867779,4439,3992000.0,32.35294117647059,4
58,Haïti,5.0388983401249945,2159.0,47.65,22.959076600209862,715,10727000.0,8.91089108910891,1
59,Honduras,6.4969566854163565,2678.0,62.28,34.200385356454724,2575,7559000.0,93.96551724137932,2
60,Hongrie,-0.9627990767685745,3391.0,89.48,56.16897630755475,16879,59617000.0,171.06109324758842,4
61,Inde,4.1177268690553035,2581.0,64.87,23.80144905195005,2116,2800000.0,100.14197823000472,2
62,Indonésie,4.5237085654818845,2879.0,67.54,36.33402428190701,4136,31213000.0,162.63786764705884,2
63,Iran (République islamique d'),5.332870218416679,3005.0,83.12,30.10105871029836,7282,8022000.0,102.23015165031222,2
64,Iraq,9.507867290948923,2615.0,64.77,19.268179712830015,5730,2609000.0,49.029126213592235,1
65,Irlande,4.712140002191503,3811.0,111.05,57.04637550652859,81637,7667000.0,111.59420289855073,3
66,Israël,6.34890321205412,3558.0,126.1,60.563045202220465,46376,3631000.0,100.81699346405229,3
67,Italie,-0.046934706521833375,3505.0,104.54,53.185383585230525,33090,16573000.0,115.96925704526046,4
68,Jamaïque,1.9420821435149116,2770.0,77.09,49.656245946296536,5369,1043000.0,82.20858895705521,4
69,Japon,-0.8866698180071322,2691.0,88.02,55.86230402181322,40063,8404000.0,90.04702194357367,4
70,Jordanie,8.26711836648388,2529.0,63.72,39.469554300062775,4405,9133000.0,78.05907172995781,2
71,Kazakhstan,5.279437533295956,3331.0,104.1,54.63976945244957,9793,9609000.0,60.281690140845065,4
72,Kenya,8.931485927456919,2205.0,61.19,24.775290080078445,1817,1958000.0,104.70588235294119,1
