Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"OA","S?ries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","34413.603"
"OA","S?ries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","38041.754"
"OA","S?ries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55386.367"
"OA","S?ries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","58558.27"
"OA","S?ries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2890.513"
"OA","S?ries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2880.917"
"OA","S?ries temporelles annuelles","4","Alg?rie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","39728.025"
"OA","S?ries temporelles annuelles","4","Alg?rie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","43053.054"
"OA","S?ries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","81787.411"
"OA","S?ries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","83517.045"
"OA","S?ries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","78.011"
"OA","S?ries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","77.142"
"OA","S?ries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","27884.381"
"OA","S?ries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","31825.295"
"OA","S?ries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","14.279"
"OA","S?ries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","14.869"
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","93.566"
"OA","S?ries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","97.118"
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","269.936"
"OA","S?ries temporelles annuelles","151","Antilles n?erlandaises (ex)","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","279.64"
"OA","S?ries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","31717.667"
"OA","S?ries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","34268.528"
"OA","S?ries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","43075.416"
"OA","S?ries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","44780.677"
"OA","S?ries temporelles annuelles","1","Arm?nie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2925.553"
"OA","S?ries temporelles annuelles","1","Arm?nie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2957.731"
"OA","S?ries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","104.341"
"OA","S?ries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","106.314"
"OA","S?ries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23932.502"
"OA","S?ries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25203.198"
"OA","S?ries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","8678.66"
"OA","S?ries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","8955.102"
"OA","S?ries temporelles annuelles","52","Azerba?djan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9622.745"
"OA","S?ries temporelles annuelles","52","Azerba?djan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","10047.718"
"OA","S?ries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","374.206"
"OA","S?ries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","389.482"
"OA","S?ries temporelles annuelles","13","Bahre?n","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1371.851"
"OA","S?ries temporelles annuelles","13","Bahre?n","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","1641.172"
"OA","S?ries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","156256.276"
"OA","S?ries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","163046.161"
"OA","S?ries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","285.324"
"OA","S?ries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","287.025"
"OA","S?ries temporelles annuelles","57","B?larus","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9439.423"
"OA","S?ries temporelles annuelles","57","B?larus","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","9452.411"
"OA","S?ries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11287.94"
"OA","S?ries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11539.328"
"OA","S?ries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","360.933"
"OA","S?ries temporelles annuelles","23","Belize","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","390.353"
"OA","S?ries temporelles annuelles","53","B?nin","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10575.952"
"OA","S?ries temporelles annuelles","53","B?nin","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11801.151"
"OA","S?ries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","63.692"
"OA","S?ries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","62.506"
"OA","S?ries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","727.876"
"OA","S?ries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","763.092"
"OA","S?ries temporelles annuelles","19","Bolivie (?tat plurinational de)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10869.73"
"OA","S?ries temporelles annuelles","19","Bolivie (?tat plurinational de)","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11513.1"
"OA","S?ries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","24.57"
"OA","S?ries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","25.979"
"OA","S?ries temporelles annuelles","80","Bosnie-Herz?govine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","3429.361"
"OA","S?ries temporelles annuelles","80","Bosnie-Herz?govine","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","3301"
"OA","S?ries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2120.716"
"OA","S?ries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","2303.697"
"OA","S?ries temporelles annuelles","21","Br?sil","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","204471.769"
"OA","S?ries temporelles annuelles","21","Br?sil","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","211049.527"
"OA","S?ries temporelles annuelles","26","Brun?i Darussalam","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","414.907"
"OA","S?ries temporelles annuelles","26","Brun?i Darussalam","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","433.285"
"OA","S?ries temporelles annuelles","27","Bulgarie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","7199.741"
"OA","S?ries temporelles annuelles","27","Bulgarie","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","7000.119"
"OA","S?ries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","18110.624"
"OA","S?ries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","20321.378"
"OA","S?ries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10160.03"
"OA","S?ries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2019","2019","1000 personnes","11530.58"
