"LOCATION","Pays","COMMODITY","Produit","VARIABLE","Variable","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2021","2021","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.266,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2022","2022","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.231,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2023","2023","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.216,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2024","2024","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.215,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2025","2025","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.202,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2026","2026","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.182,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2027","2027","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.161,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2028","2028","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.151,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2029","2029","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.14,,
"WLD","MONDE","BV","Viande bovine","FO__PC","Consommation humaine par tête","2030","2030","KG_HAB","Kilogrammes par habitant","0","Unités",,,6.126,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2021","2021","TONNE","Tonnes","3","Milliers",,,16166.306,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2022","2022","TONNE","Tonnes","3","Milliers",,,16312.428,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2023","2023","TONNE","Tonnes","3","Milliers",,,16622.668,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2024","2024","TONNE","Tonnes","3","Milliers",,,16873.833,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2025","2025","TONNE","Tonnes","3","Milliers",,,17128.652,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2026","2026","TONNE","Tonnes","3","Milliers",,,17379.455,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2027","2027","TONNE","Tonnes","3","Milliers",,,17630.004,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2028","2028","TONNE","Tonnes","3","Milliers",,,17878.368,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2029","2029","TONNE","Tonnes","3","Milliers",,,18120.558,,
"WLD","MONDE","SH","Viande ovine","QP","Production","2030","2030","TONNE","Tonnes","3","Milliers",,,18359.234,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2021","2021","TONNE","Tonnes","3","Milliers",,,16196.094,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2022","2022","TONNE","Tonnes","3","Milliers",,,16357.305,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2023","2023","TONNE","Tonnes","3","Milliers",,,16658.849,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2024","2024","TONNE","Tonnes","3","Milliers",,,16910.002,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2025","2025","TONNE","Tonnes","3","Milliers",,,17164.801,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2026","2026","TONNE","Tonnes","3","Milliers",,,17415.611,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2027","2027","TONNE","Tonnes","3","Milliers",,,17666.165,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2028","2028","TONNE","Tonnes","3","Milliers",,,17914.524,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2029","2029","TONNE","Tonnes","3","Milliers",,,18156.716,,
"WLD","MONDE","SH","Viande ovine","QC","Consommation","2030","2030","TONNE","Tonnes","3","Milliers",,,18395.391,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2021","2021","TONNE","Tonnes","3","Milliers",,,70116.935,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2022","2022","TONNE","Tonnes","3","Milliers",,,70430.141,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2023","2023","TONNE","Tonnes","3","Milliers",,,70947.532,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2024","2024","TONNE","Tonnes","3","Milliers",,,71614.774,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2025","2025","TONNE","Tonnes","3","Milliers",,,72134.237,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2026","2026","TONNE","Tonnes","3","Milliers",,,72556.251,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2027","2027","TONNE","Tonnes","3","Milliers",,,72958.657,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2028","2028","TONNE","Tonnes","3","Milliers",,,73474.527,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2029","2029","TONNE","Tonnes","3","Milliers",,,73967.63,,
"WLD","MONDE","BV","Viande bovine","QC","Consommation","2030","2030","TONNE","Tonnes","3","Milliers",,,74420.951,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2021","2021","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.82,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2022","2022","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.819,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2023","2023","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.835,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2024","2024","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.845,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2025","2025","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.855,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2026","2026","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.865,,
