Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","28"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","67"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1816"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","488"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2186"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22"
"FBS","Bilans Alimentaires (2010-)","3","Albanie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","34"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","291"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","4","Alg?rie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","287"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1544"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","831"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1712"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","49"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","278"
"FBS","Bilans Alimentaires (2010-)","7","Angola","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","327"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","7"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","800"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","650"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1433"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2248"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2020"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","12"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","43"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","55"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1278"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","9"
"FBS","Bilans Alimentaires (2010-)","10","Australie","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","1243"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","132"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","113"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","177"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","112"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","39"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","146"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","6"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","25"
